points_1	points_2	points_3	points_4	points_5	points_6	relevant	visits	analysis	stratum	weight
1	4	7	3	8	17	40	1747	40	Moeras en water	0.03281
0	3	3	1	1	0	8	197	40	Suburbaan	0.01041
2	8	7	9	4	3	33	1800	41	Landbouw	0.97519
1	1	1	4	0	1	8	370	41	Moeras en water	0.02481
2	5	12	4	3	1	27	1092	42	Bos	0.727
1	4	2	1	0	0	8	309	42	Heide en duin	0.273
5	8	15	17	22	31	98	6206	43	Bos	0.4118
1	11	8	12	7	8	47	2757	43	Heide en duin	0.2503
2	0	3	1	0	0	6	314	43	Landbouw	0.1815
0	2	4	1	1	0	8	362	43	Moeras en water	0.03483
2	4	2	1	0	1	10	322	43	Suburbaan	0.06215
1	3	1	1	0	0	6	223	43	Urbaan	0.05942
3	5	2	1	2	0	13	466	44	Bos	0.00393
0	5	6	5	5	3	24	1062	44	Heide en duin	0.0092
6	32	52	68	73	111	342	19704	44	Landbouw	0.89381
2	8	8	1	3	4	26	1100	44	Moeras en water	0.00815
1	1	6	9	6	17	40	2453	44	Suburbaan	0.01989
0	2	2	13	13	46	76	5162	44	Urbaan	0.06502
4	18	10	7	11	17	67	3749	45	Bos	0.26275
3	3	6	7	11	30	60	4070	45	Heide en duin	0.29821
4	2	2	3	1	1	13	566	45	Landbouw	0.40653
0	2	2	2	0	2	8	437	45	Moeras en water	0.03251
3	4	3	1	0	0	11	362	46	Bos	0.11137
2	5	1	2	0	0	10	373	46	Heide en duin	0.11548
2	6	1	0	0	0	9	239	46	Landbouw	0.69971
2	3	1	2	0	0	8	316	46	Moeras en water	0.07343
2	18	11	12	14	20	77	4451	47	Bos	0.16893
0	4	8	12	19	36	79	5146	47	Heide en duin	0.21965
1	8	9	4	2	2	26	1285	47	Landbouw	0.49275
2	2	4	6	5	11	30	2007	47	Moeras en water	0.06819
0	4	4	2	0	4	14	425	47	Suburbaan	0.05047
1	5	3	7	5	1	22	760	48	Bos	0.00906
2	3	10	10	5	10	40	1374	48	Heide en duin	0.02087
6	24	53	70	58	51	262	10160	48	Landbouw	0.9319
1	5	8	8	6	17	45	1847	48	Moeras en water	0.0192
3	3	1	3	4	2	16	496	48	Suburbaan	0.01083
2	5	1	0	0	0	8	137	48	Urbaan	0.00815
0	1	5	8	21	124	159	11650	49	Bos	0.06196
3	6	7	7	16	37	76	5059	49	Heide en duin	0.03753
9	37	41	55	48	52	242	13831	49	Landbouw	0.81465
2	6	10	5	7	22	52	3234	49	Moeras en water	0.021
0	6	4	6	4	9	29	1536	49	Suburbaan	0.01857
1	16	6	6	4	9	42	2199	49	Urbaan	0.04628
1	6	8	8	4	5	32	1979	50	Bos	0.24097
1	10	3	11	10	14	49	3092	50	Heide en duin	0.46763
2	1	2	0	0	0	5	98	50	Landbouw	0.2602
1	2	0	2	0	0	5	226	50	Moeras en water	0.03121
3	7	11	7	8	5	41	1979	51	Heide en duin	0.04299
7	32	29	28	21	15	132	6903	51	Landbouw	0.94336
2	1	3	1	0	1	8	348	51	Moeras en water	0.00686
1	0	4	0	0	1	6	110	51	Suburbaan	0.0068
3	6	5	6	5	6	31	1731	52	Landbouw	0.98853
2	1	0	0	0	1	4	128	52	Moeras en water	0.01147
7	6	17	20	17	25	92	6072	53	Bos	0.03198
1	6	10	5	9	3	34	2070	53	Heide en duin	0.01498
2	16	40	66	69	106	299	19630	53	Landbouw	0.89795
0	9	12	5	12	3	41	2184	53	Moeras en water	0.01477
3	4	11	11	1	1	31	1249	53	Suburbaan	0.01771
3	6	8	5	1	0	23	926	53	Urbaan	0.02261
7	11	15	7	1	1	42	1799	54	Bos	0.01705
3	11	8	3	2	2	29	1210	54	Heide en duin	0.01492
5	48	48	50	52	42	245	13338	54	Landbouw	0.85908
1	5	11	6	3	2	28	1408	54	Moeras en water	0.01178
0	3	7	3	8	18	39	2596	54	Suburbaan	0.02601
1	3	10	16	10	22	62	3852	54	Urbaan	0.07117
2	6	8	7	9	12	44	2447	55	Landbouw	0.94382
1	2	3	0	1	2	9	417	55	Urbaan	0.05618
0	19	14	14	6	14	67	3837	56	Bos	0.01909
1	5	10	11	12	16	55	3222	56	Heide en duin	0.01986
0	11	14	26	48	252	351	25425	56	Landbouw	0.864
2	3	13	7	11	13	49	2851	56	Moeras en water	0.01447
0	1	3	5	6	34	49	3352	56	Suburbaan	0.02295
0	0	2	2	3	67	74	5577	56	Urbaan	0.05963
3	10	5	7	2	4	31	1457	57	Bos	0.00915
3	9	7	5	6	9	39	1797	57	Heide en duin	0.01459
8	20	38	62	62	153	343	21729	57	Landbouw	0.87492
4	7	11	6	5	6	39	1906	57	Moeras en water	0.01193
0	4	2	5	11	28	50	3312	57	Suburbaan	0.02426
0	1	2	3	2	70	78	5780	57	Urbaan	0.06513
0	2	5	13	24	112	156	11289	58	Bos	0.04012
0	4	3	7	9	63	86	6108	58	Heide en duin	0.02803
0	3	2	10	21	341	377	28501	58	Landbouw	0.83748
0	0	0	2	11	50	63	4773	58	Moeras en water	0.01679
0	1	3	3	8	43	58	3867	58	Suburbaan	0.02451
0	2	2	7	11	51	73	5323	58	Urbaan	0.05309
1	4	1	0	3	1	10	381	59	Bos	0.0594
1	3	2	2	3	1	12	570	59	Landbouw	0.62715
2	3	1	0	1	1	8	263	59	Moeras en water	0.04787
1	0	2	3	0	4	10	673	59	Suburbaan	0.09761
0	2	0	3	2	2	9	590	59	Urbaan	0.16798
5	5	9	3	3	0	25	1115	60	Bos	0.02083
0	11	7	4	5	6	33	1791	60	Heide en duin	0.03485
5	24	26	27	21	17	120	6871	60	Landbouw	0.86375
1	5	16	6	6	13	47	2759	60	Moeras en water	0.04058
0	5	3	2	1	1	12	593	60	Suburbaan	0.01643
4	5	2	0	0	0	11	274	60	Urbaan	0.02356
2	13	6	5	2	0	28	730	61	Bos	0.66761
0	3	3	3	1	1	11	565	61	Heide en duin	0.33239
2	4	1	1	1	0	9	234	62	Bos	0.01128
2	4	2	2	3	3	16	480	62	Heide en duin	0.02859
5	26	11	4	3	2	51	1353	62	Landbouw	0.62118
3	7	2	2	3	5	22	745	62	Moeras en water	0.03214
1	5	4	6	2	7	25	916	62	Suburbaan	0.05561
2	5	3	8	11	34	63	2646	62	Urbaan	0.2512
0	1	1	1	11	149	163	12089	63	Bos	0.0429
1	3	5	5	14	60	88	6019	63	Heide en duin	0.02936
7	12	17	36	53	239	364	25387	63	Landbouw	0.82768
0	3	2	5	9	43	62	4436	63	Moeras en water	0.01691
0	1	0	7	9	41	58	3859	63	Suburbaan	0.02509
0	0	0	5	4	69	78	5785	63	Urbaan	0.05806
0	0	0	0	4	158	162	12149	64	Bos	0.04323
2	1	4	4	2	66	79	5658	64	Heide en duin	0.02671
1	3	16	21	45	278	364	26476	64	Landbouw	0.83901
0	6	2	4	3	44	59	4113	64	Moeras en water	0.01631
0	1	5	5	8	31	50	3055	64	Suburbaan	0.02192
1	3	7	8	10	41	70	4625	64	Urbaan	0.05282
1	1	2	0	0	0	4	83	65	Bos	0.00558
2	0	1	0	1	0	4	104	65	Heide en duin	0.00707
6	21	12	10	5	4	58	1660	65	Landbouw	0.93225
1	1	3	2	1	0	8	226	65	Moeras en water	0.01349
3	1	2	0	0	0	6	103	65	Suburbaan	0.01529
2	0	0	0	2	2	6	210	65	Urbaan	0.02631
1	15	25	19	10	10	80	4609	66	Bos	0.46162
1	8	8	11	2	3	33	1870	66	Heide en duin	0.24132
2	3	0	1	0	0	6	197	66	Landbouw	0.24923
1	1	0	0	3	3	8	538	66	Moeras en water	0.04783
2	4	8	4	2	3	23	760	67	Landbouw	1
0	5	9	21	29	77	141	9433	68	Bos	0.19172
2	5	8	6	10	6	37	2292	68	Heide en duin	0.06376
7	18	7	11	4	4	51	2209	68	Landbouw	0.59904
2	7	3	3	4	5	24	1164	68	Moeras en water	0.03381
2	5	3	2	2	5	19	811	68	Suburbaan	0.04246
6	5	3	2	1	1	18	586	68	Urbaan	0.06921
0	2	7	14	26	105	154	11100	69	Bos	0.04762
1	3	12	10	17	28	71	4786	69	Heide en duin	0.02782
3	21	35	57	72	124	312	20233	69	Landbouw	0.83336
2	0	5	8	15	25	55	3779	69	Moeras en water	0.01762
1	4	2	7	14	17	45	2838	69	Suburbaan	0.02287
4	3	8	11	13	19	58	3538	69	Urbaan	0.05071
3	0	2	3	0	0	8	323	70	Bos	0.00414
0	7	8	4	4	9	32	1729	70	Heide en duin	0.02396
7	20	26	32	45	58	188	11358	70	Landbouw	0.95945
1	6	3	1	2	2	15	664	70	Moeras en water	0.00857
1	0	1	0	3	0	5	108	70	Suburbaan	0.00388
0	1	3	3	9	147	163	12021	71	Bos	0.04121
0	0	6	4	17	59	86	6090	71	Heide en duin	0.02756
0	4	9	10	26	333	382	28251	71	Landbouw	0.83437
1	1	2	4	10	48	66	4756	71	Moeras en water	0.01729
0	1	1	2	5	50	59	4008	71	Suburbaan	0.02452
0	0	0	1	1	75	77	5858	71	Urbaan	0.05506
1	2	3	1	2	2	11	514	72	Heide en duin	0.07642
1	2	2	4	4	2	15	986	72	Landbouw	0.78139
2	3	2	3	5	3	18	1071	72	Moeras en water	0.11246
2	1	0	0	0	1	4	146	72	Suburbaan	0.02973
1	3	0	1	0	0	5	132	73	Bos	0.00617
3	3	1	0	1	1	9	214	73	Heide en duin	0.01563
9	11	12	15	7	13	67	2398	73	Landbouw	0.89243
3	8	6	5	9	10	41	1632	73	Moeras en water	0.0655
1	2	4	1	0	1	9	180	73	Suburbaan	0.02027
2	8	6	1	1	2	20	1119	74	Bos	0.20805
2	2	2	0	0	0	6	199	74	Heide en duin	0.06592
1	6	1	0	0	0	8	244	74	Landbouw	0.62903
0	3	4	1	1	0	9	392	74	Moeras en water	0.097
1	2	2	0	0	0	5	119	75	Heide en duin	0.0122
1	23	15	3	1	0	43	1143	75	Landbouw	0.89384
2	6	5	7	3	2	25	865	75	Moeras en water	0.06233
3	4	0	0	0	1	8	194	75	Suburbaan	0.03164
1	8	8	8	8	5	38	1579	76	Bos	0.20815
4	6	10	6	6	9	41	1637	76	Heide en duin	0.28462
3	0	3	3	1	1	11	388	76	Landbouw	0.47318
1	2	2	0	1	0	6	194	76	Moeras en water	0.03405
4	4	1	0	1	0	10	199	77	Heide en duin	0.0306
11	17	12	5	1	0	46	975	77	Landbouw	0.9594
3	1	1	0	0	0	5	79	77	Moeras en water	0.01001
1	2	0	2	1	1	7	242	78	Bos	0.03723
3	0	1	2	1	0	7	178	78	Heide en duin	0.04719
1	5	2	2	4	2	16	550	78	Landbouw	0.85771
0	4	1	2	1	1	9	325	78	Moeras en water	0.05787
7	22	20	15	4	1	69	3100	79	Bos	0.0798
2	14	11	4	0	1	32	1470	79	Heide en duin	0.0469
7	50	10	5	1	1	74	2668	79	Landbouw	0.73929
4	11	6	9	3	3	36	1665	79	Moeras en water	0.04314
1	8	7	4	1	1	22	983	79	Suburbaan	0.04181
4	6	3	1	1	0	15	594	79	Urbaan	0.04906
1	2	1	0	0	0	4	113	80	Bos	0.0064
